rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1|0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1|0
rnbqkb1r/pppppppp/7n/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2|0
rnbqkb1r/pppppppp/7n/8/3P4/5P2/PPP1P1PP/RNBQKBNR b KQkq - 0 2|0
rnbqkbr1/pppppppp/7n/8/3P4/5P2/PPP1P1PP/RNBQKBNR w KQq - 1 3|0
rnbqkbr1/pppppppp/7n/8/3P4/2P2P2/PP2P1PP/RNBQKBNR b KQq - 0 3|0
rnbqkbr1/ppppp1pp/7n/5p2/3P4/2P2P2/PP2P1PP/RNBQKBNR w KQq - 0 4|0
rnbqkbr1/ppppp1pp/7n/5p2/3P1P2/2P5/PP2P1PP/RNBQKBNR b KQq - 0 4|0
rnbqkbr1/ppppp1pp/8/5p2/3P1Pn1/2P5/PP2P1PP/RNBQKBNR w KQq - 1 5|0
rnbqkbr1/ppppp1pp/8/5p2/3P1Pn1/2P2N2/PP2P1PP/RNBQKB1R b KQq - 2 5|0
rnbqkbr1/ppppp1pp/8/5p2/3P1P2/2P2N2/PP2P1Pn/RNBQKB1R w KQq - 0 6|0
rnbqkbr1/ppppp1pp/8/5p2/3P1P2/2P5/PP2P1PN/RNBQKB1R b KQq - 0 6|0
rnbqkbr1/pp1pp1pp/2p5/5p2/3P1P2/2P5/PP2P1PN/RNBQKB1R w KQq - 0 7|0
rnbqkbr1/pp1pp1pp/2p5/5p2/3P1PP1/2P5/PP2P2N/RNBQKB1R b KQq - 0 7|0
rnbqkbr1/pp1pp1pp/2p5/8/3P1Pp1/2P5/PP2P2N/RNBQKB1R w KQq - 0 8|0
rnbqkbr1/pp1pp1pp/2p5/8/3P1PN1/2P5/PP2P3/RNBQKB1R b KQq - 0 8|0
rnbqkbr1/pp1p2pp/2p5/4p3/3P1PN1/2P5/PP2P3/RNBQKB1R w KQq - 0 9|0
rnbqkbr1/pp1p2pp/2p5/4p3/3P1PN1/2P1P3/PP6/RNBQKB1R b KQq - 0 9|0
rnbqkbr1/pp1p2pp/2p5/8/3P1pN1/2P1P3/PP6/RNBQKB1R w KQq - 0 10|0
rnbqkbr1/pp1p2pp/2p5/8/3P1PN1/2P5/PP6/RNBQKB1R b KQq - 0 10|0
rnbqk1r1/pp1p2pp/2p5/8/3P1PN1/b1P5/PP6/RNBQKB1R w KQq - 1 11|0
